Generating graph...
Graph Stats:
Number of nodes: 3270
Number of sources: 1
Number of sinks: 174
Number of edges: 9894
Computing BFS...
Done.
Found back edge 1-1312 -> 0-1313, id: 8 -> 6, dist: 3 -> 2  replaceable to 0-1323
Found back edge 0-2213 -> 1-2313, id: 20 -> 13, dist: 4 -> 3  
Found back edge 0-2213 -> 1-2313, id: 20 -> 13, dist: 4 -> 3  
Found back edge 0-2313 -> 1-3313, id: 27 -> 17, dist: 4 -> 3  replaceable to 1-2513
Found back edge 0-1413 -> 1-1513, id: 31 -> 18, dist: 4 -> 3  replaceable to 1-3413
Found back edge 1-2322 -> 0-2323, id: 54 -> 28, dist: 5 -> 4  
Found back edge 1-2322 -> 0-2323, id: 54 -> 28, dist: 5 -> 4  
Found back edge 1-2323 -> 0-2333, id: 57 -> 38, dist: 5 -> 4  replaceable to 0-2324
Found back edge 1-2314 -> 0-2315, id: 59 -> 39, dist: 5 -> 4  replaceable to 0-2334
Found back edge 1-1422 -> 0-1423, id: 61 -> 32, dist: 5 -> 4  
Found back edge 1-1422 -> 0-1423, id: 61 -> 32, dist: 5 -> 4  
Found back edge 1-3322 -> 0-3323, id: 62 -> 44, dist: 5 -> 4  
Found back edge 1-3322 -> 0-3323, id: 62 -> 44, dist: 5 -> 4  
Found back edge 1-1522 -> 0-1523, id: 63 -> 48, dist: 5 -> 4  
Found back edge 1-1522 -> 0-1523, id: 63 -> 48, dist: 5 -> 4  
Found back edge 1-1423 -> 0-1433, id: 64 -> 40, dist: 5 -> 4  replaceable to 0-1424
Found back edge 1-3323 -> 0-3333, id: 65 -> 50, dist: 5 -> 4  replaceable to 0-3334
Found back edge 1-1523 -> 0-1533, id: 66 -> 52, dist: 5 -> 4  replaceable to 0-0124
Found back edge 1-1414 -> 0-0115, id: 67 -> 41, dist: 5 -> 4 -HIT replaceable to 0-1424
Found back edge 1-3314 -> 0-3315, id: 68 -> 51, dist: 5 -> 4  replaceable to 0-3324
Found back edge 0-2423 -> 1-3423, id: 112 -> 74, dist: 6 -> 5  replaceable to 1-2602
Found back edge 0-2423 -> 1-2523, id: 112 -> 75, dist: 6 -> 5  replaceable to 1-2602
Found back edge 0-2414 -> 1-3414, id: 114 -> 76, dist: 6 -> 5  replaceable to 1-4414
Found back edge 0-2414 -> 1-2501, id: 114 -> 77, dist: 6 -> 5 -HIT replaceable to 1-2614
Found back edge 0-2433 -> 1-3433, id: 115 -> 92, dist: 6 -> 5  
Found back edge 0-2433 -> 1-2533, id: 115 -> 93, dist: 6 -> 5  
Found back edge 0-0215 -> 1-1215, id: 116 -> 97, dist: 6 -> 5  
Found back edge 0-2416 -> 1-3401, id: 122 -> 94, dist: 6 -> 5 -HIT replaceable to 1-2616
Found back edge 0-1416 -> 1-3401, id: 132 -> 94, dist: 6 -> 5 -HIT replaceable to 1-2416
Found back edge 0-3423 -> 1-3523, id: 135 -> 100, dist: 6 -> 5  replaceable to 1-3602
Found back edge 0-2523 -> 1-3523, id: 137 -> 100, dist: 6 -> 5  replaceable to 1-2703
Found back edge 0-3414 -> 1-3501, id: 139 -> 101, dist: 6 -> 5 -HIT replaceable to 1-4414
Found back edge 0-3433 -> 1-3533, id: 140 -> 106, dist: 6 -> 5  replaceable to 1-4533
Found back edge 0-0315 -> 1-2315, id: 141 -> 84, dist: 6 -> 5  
Found back edge 0-0214 -> 1-1214, id: 142 -> 105, dist: 6 -> 5  
Found back edge 0-2533 -> 1-3533, id: 143 -> 106, dist: 6 -> 5  replaceable to 1-2733
Found back edge 0-2515 -> 1-3515, id: 144 -> 107, dist: 6 -> 5  replaceable to 1-2715
Found back edge 0-1615 -> 1-1715, id: 157 -> 110, dist: 6 -> 5  replaceable to 1-3615
Found back edge 0-1412 -> 1-1512, id: 168 -> 16, dist: 6 -> 3  replaceable to 1-1612
Found back edge 0-1516 -> 1-3501, id: 170 -> 101, dist: 6 -> 5 -HIT replaceable to 1-1716
Found back edge 0-1517 -> 1-2501, id: 171 -> 77, dist: 6 -> 5 -HIT replaceable to 1-1717
Found back edge 0-2516 -> 1-3501, id: 176 -> 101, dist: 6 -> 5 -HIT replaceable to 1-2616
Found back edge 0-0517 -> 1-2501, id: 177 -> 77, dist: 6 -> 5 -HIT 
Found back edge 0-0314 -> 1-2314, id: 188 -> 59, dist: 6 -> 5  
Found back edge 0-1115 -> 1-1215, id: 200 -> 97, dist: 6 -> 5  
Found back edge 0-1115 -> 1-1215, id: 200 -> 97, dist: 6 -> 5  
Found back edge 0-1215 -> 1-2315, id: 203 -> 84, dist: 6 -> 5  replaceable to 1-2215
Found back edge 0-1215 -> 1-1401, id: 203 -> 89, dist: 6 -> 5 -HIT replaceable to 1-1315
Found back edge 1-3324 -> 0-3334, id: 214 -> 128, dist: 7 -> 6  
Found back edge 1-3324 -> 0-3325, id: 214 -> 129, dist: 7 -> 6  
Found back edge 1-2424 -> 0-2434, id: 215 -> 119, dist: 7 -> 6  replaceable to 0-2444
Found back edge 1-2424 -> 0-0225, id: 215 -> 120, dist: 7 -> 6 -HIT replaceable to 0-2426
Found back edge 1-3424 -> 0-3434, id: 216 -> 145, dist: 7 -> 6  replaceable to 0-0426
Found back edge 1-3424 -> 0-0325, id: 216 -> 146, dist: 7 -> 6 -HIT replaceable to 0-3444
Found back edge 1-2502 -> 0-2512, id: 217 -> 151, dist: 7 -> 6  
Found back edge 1-2624 -> 0-0234, id: 221 -> 147, dist: 7 -> 6 -HIT replaceable to 0-2626
Found back edge 1-2614 -> 0-0234, id: 223 -> 147, dist: 7 -> 6 -HIT replaceable to 0-2624
Found back edge 1-3334 -> 0-3335, id: 226 -> 165, dist: 7 -> 6  replaceable to 0-3344
Found back edge 1-2434 -> 0-0235, id: 227 -> 160, dist: 7 -> 6 -HIT replaceable to 0-2436
Found back edge 1-3434 -> 0-0335, id: 228 -> 172, dist: 7 -> 6 -HIT replaceable to 0-3444
Found back edge 1-2503 -> 0-2523, id: 229 -> 137, dist: 7 -> 6  
Found back edge 1-3325 -> 0-3335, id: 230 -> 165, dist: 7 -> 6  replaceable to 0-3345
Found back edge 1-2402 -> 0-2412, id: 231 -> 163, dist: 7 -> 6  
Found back edge 1-3402 -> 0-3412, id: 232 -> 175, dist: 7 -> 6  
Found back edge 1-2525 -> 0-2535, id: 233 -> 173, dist: 7 -> 6  replaceable to 0-2526
Found back edge 1-1225 -> 0-1235, id: 236 -> 184, dist: 7 -> 6  replaceable to 0-1245
Found back edge 1-1216 -> 0-0117, id: 238 -> 185, dist: 7 -> 6 -HIT replaceable to 0-1236
Found back edge 1-2516 -> 0-0517, id: 240 -> 177, dist: 7 -> 6 -HIT replaceable to 0-2526
Found back edge 1-1502 -> 0-1512, id: 243 -> 134, dist: 7 -> 6  
Found back edge 1-1502 -> 0-1522, id: 243 -> 46, dist: 7 -> 4  
Found back edge 1-1624 -> 0-0134, id: 244 -> 130, dist: 7 -> 6 -HIT replaceable to 0-1626
Found back edge 1-1624 -> 0-1625, id: 244 -> 210, dist: 7 -> 6  replaceable to 0-1626
